"camera Name	",not being in acceptaptable eyesight range,being in acceptaptable eyesight range(50 degree),C column+line of sight,steps Number
camera (2),0.3709677,0.6290323,0.6129032,62
camera (3),0,1,0.983871,62
camera (4),0,1,0.5967742,62
camera (5),0.1935484,0.8064516,0.8064516,62
camera (6),0.01612903,0.983871,0.8548387,62
camera (7),0.0483871,0.9516129,0.9516129,62

camera (0),0,1,0.984127,63
camera (1),0,1,0.984127,63
camera (2),0.3809524,0.6190476,0.6031746,63
camera (3),0,1,0.984127,63
camera (4),0,1,0.5873016,63
camera (5),0.1904762,0.8095238,0.8095238,63
camera (6),0.01587302,0.984127,0.8571429,63
camera (7),0.04761905,0.952381,0.952381,63

camera (0),0,1,0.984375,64
camera (1),0,1,0.984375,64
camera (2),0.390625,0.609375,0.59375,64
camera (3),0,1,0.984375,64
camera (4),0,1,0.578125,64
camera (5),0.1875,0.8125,0.796875,64
camera (6),0.015625,0.984375,0.84375,64
camera (7),0.046875,0.953125,0.953125,64

camera (0),0,1,0.9846154,65
camera (1),0,1,0.9846154,65
camera (2),0.4,0.6,0.5846154,65
camera (3),0,1,0.9846154,65
camera (4),0,1,0.5692308,65
camera (5),0.1846154,0.8153846,0.7846154,65
camera (6),0.01538462,0.9846154,0.8307692,65
camera (7),0.04615385,0.9538462,0.9538462,65

camera (0),0,1,0.9848485,66
camera (1),0,1,0.9848485,66
camera (2),0.4090909,0.5909091,0.5757576,66
camera (3),0,1,0.9848485,66
camera (4),0,1,0.5606061,66
camera (5),0.1818182,0.8181818,0.7727273,66
camera (6),0.01515152,0.9848485,0.8181818,66
camera (7),0.04545455,0.9545454,0.9545454,66

camera (0),0,1,0.9850746,67
camera (1),0,1,0.9850746,67
camera (2),0.4179105,0.5820895,0.5671642,67
camera (3),0,1,0.9850746,67
camera (4),0,1,0.5522388,67
camera (5),0.1791045,0.8208956,0.7611941,67
camera (6),0.01492537,0.9850746,0.8208955,67
camera (7),0.04477612,0.9552239,0.9552239,67

camera (0),0,1,0.9852941,68
camera (1),0,1,0.9852941,68
camera (2),0.4264706,0.5735294,0.5588235,68
camera (3),0,1,0.9852941,68
camera (4),0,1,0.5441176,68
camera (5),0.1764706,0.8235294,0.75,68
camera (6),0.01470588,0.9852941,0.8235294,68
camera (7),0.04411765,0.9558824,0.9558824,68

camera (0),0,1,0.9855072,69
camera (1),0,1,0.9855072,69
camera (2),0.4347826,0.5652174,0.5507246,69
camera (3),0,1,0.9855072,69
camera (4),0,1,0.5362319,69
camera (5),0.173913,0.8260869,0.7391304,69
camera (6),0.01449275,0.9855072,0.8260869,69
camera (7),0.04347826,0.9565217,0.9565217,69

camera (0),0,1,0.9857143,70
camera (1),0,1,0.9857143,70
camera (2),0.4428571,0.5571429,0.5428572,70
camera (3),0,1,0.9857143,70
camera (4),0,1,0.5285714,70
camera (5),0.1714286,0.8285714,0.7285714,70
camera (6),0.01428571,0.9857143,0.8142857,70
camera (7),0.04285714,0.9571428,0.9571428,70

camera (0),0,1,0.9859155,71
camera (1),0,1,0.9859155,71
camera (2),0.4507042,0.5492958,0.5352113,71
camera (3),0,1,0.9859155,71
camera (4),0,1,0.5211267,71
camera (5),0.1690141,0.8309859,0.7183099,71
camera (6),0.01408451,0.9859155,0.8028169,71
camera (7),0.04225352,0.9577465,0.9577465,71

camera (0),0,1,0.9861111,72
camera (1),0,1,0.9861111,72
camera (2),0.4583333,0.5416667,0.5277778,72
camera (3),0,1,0.9861111,72
camera (4),0,1,0.5138889,72
camera (5),0.1666667,0.8333333,0.7083333,72
camera (6),0.01388889,0.9861112,0.7916667,72
camera (7),0.04166667,0.9583333,0.9583333,72

camera (0),0,1,0.9863014,73
camera (1),0,1,0.9863014,73
camera (2),0.4657534,0.5342466,0.5205479,73
camera (3),0,1,0.9863014,73
camera (4),0,1,0.5068493,73
camera (5),0.1643836,0.8356165,0.6986302,73
camera (6),0.01369863,0.9863014,0.7945206,73
camera (7),0.04109589,0.9589041,0.9589041,73

camera (0),0,1,0.9864865,74
camera (1),0,1,0.9864865,74
camera (2),0.472973,0.527027,0.5135135,74
camera (3),0,1,0.9864865,74
camera (4),0,1,0.5,74
camera (5),0.1621622,0.8378378,0.6891892,74
camera (6),0.01351351,0.9864865,0.7972973,74
camera (7),0.04054054,0.9594595,0.9594595,74

camera (0),0,1,0.9866667,75
camera (1),0,1,0.9866667,75
camera (2),0.48,0.52,0.5066667,75
camera (3),0,1,0.9866667,75
camera (4),0,1,0.4933333,75
camera (5),0.16,0.84,0.68,75
camera (6),0.01333333,0.9866667,0.8,75
camera (7),0.04,0.96,0.96,75

camera (0),0,1,0.9868421,76
camera (1),0,1,0.9868421,76
camera (2),0.4868421,0.5131579,0.5,76
camera (3),0,1,0.9868421,76
camera (4),0,1,0.4868421,76
camera (5),0.1578947,0.8421053,0.6710526,76
camera (6),0.01315789,0.9868422,0.7894737,76
camera (7),0.03947368,0.9605263,0.9605263,76

camera (0),0,1,0.987013,77
camera (1),0,1,0.987013,77
camera (2),0.4935065,0.5064935,0.4935065,77
camera (3),0,1,0.987013,77
camera (4),0,1,0.4805195,77
camera (5),0.1558442,0.8441558,0.6623377,77
camera (6),0.01298701,0.987013,0.7792208,77
camera (7),0.03896104,0.9610389,0.9610389,77

camera (0),0,1,0.9871795,78
camera (1),0,1,0.9871795,78
camera (2),0.5,0.5,0.4871795,78
camera (3),0,1,0.9871795,78
camera (4),0,1,0.474359,78
camera (5),0.1538462,0.8461539,0.6538461,78
camera (6),0.01282051,0.9871795,0.7692308,78
camera (7),0.03846154,0.9615384,0.9615384,78

camera (0),0,1,0.9873418,79
camera (1),0,1,0.9873418,79
camera (2),0.5063291,0.4936709,0.4810127,79
camera (3),0,1,0.9873418,79
camera (4),0,1,0.4683544,79
camera (5),0.1518987,0.8481013,0.6455696,79
camera (6),0.01265823,0.9873418,0.7594936,79
camera (7),0.03797468,0.9620253,0.9620253,79

camera (0),0,1,0.9875,80
camera (1),0,1,0.9875,80
camera (2),0.5125,0.4875,0.475,80
camera (3),0,1,0.9875,80
camera (4),0,1,0.4625,80
camera (5),0.15,0.85,0.6375,80
camera (6),0.0125,0.9875,0.75,80
camera (7),0.0375,0.9625,0.9625,80

camera (0),0,1,0.9876543,81
camera (1),0,1,0.9876543,81
camera (2),0.5185185,0.4814815,0.4691358,81
camera (3),0,1,0.9876543,81
camera (4),0,1,0.4567901,81
camera (5),0.1481481,0.8518518,0.6296296,81
camera (6),0.01234568,0.9876543,0.7407407,81
camera (7),0.03703704,0.962963,0.962963,81

camera (0),0,1,0.9878049,82
camera (1),0,1,0.9878049,82
camera (2),0.5243902,0.4756097,0.4634146,82
camera (3),0,1,0.9878049,82
camera (4),0,1,0.4512195,82
camera (5),0.1463415,0.8536586,0.6219512,82
camera (6),0.01219512,0.9878049,0.7317073,82
camera (7),0.03658536,0.9634146,0.9634146,82

camera (0),0,1,0.9879518,83
camera (1),0,1,0.9879518,83
camera (2),0.5301205,0.4698795,0.4578313,83
camera (3),0,1,0.9879518,83
camera (4),0,1,0.4457831,83
camera (5),0.1445783,0.8554217,0.6144578,83
camera (6),0.01204819,0.9879518,0.7228916,83
camera (7),0.03614458,0.9638554,0.9638554,83

camera (0),0,1,0.9761904,84
camera (1),0,1,0.9880952,84
camera (2),0.5357143,0.4642857,0.452381,84
camera (3),0,1,0.9880952,84
camera (4),0,1,0.4404762,84
camera (5),0.1428571,0.8571429,0.6071429,84
camera (6),0.01190476,0.9880953,0.7142857,84
camera (7),0.03571429,0.9642857,0.9642857,84

camera (0),0,1,0.9647059,85
camera (1),0,1,0.9882353,85
camera (2),0.5411765,0.4588235,0.4470588,85
camera (3),0,1,0.9764706,85
camera (4),0,1,0.4352941,85
camera (5),0.1411765,0.8588235,0.6,85
camera (6),0.01176471,0.9882354,0.7058824,85
camera (7),0.03529412,0.9647059,0.9529412,85

camera (0),0,1,0.9534883,86
camera (1),0,1,0.9883721,86
camera (2),0.5465117,0.4534884,0.4418605,86
camera (3),0,1,0.9651163,86
camera (4),0,1,0.4302326,86
camera (5),0.1395349,0.8604651,0.5930232,86
camera (6),0.01162791,0.9883721,0.6976744,86
camera (7),0.03488372,0.9651163,0.9418604,86

camera (0),0,1,0.9425287,87
camera (1),0,1,0.9885057,87
camera (2),0.5517241,0.4482759,0.4367816,87
camera (3),0,1,0.954023,87
camera (4),0,1,0.4252874,87
camera (5),0.137931,0.862069,0.5862069,87
camera (6),0.01149425,0.9885057,0.6896552,87
camera (7),0.03448276,0.9655173,0.9310345,87

camera (0),0,1,0.9318182,88
